year,name,Humanitarian,Education,Health,Refugees in Donor Countries,Environment Protection
2010,"DAC Countries, Total",0.0737,0.0655,0.094,0.0264,0.0314
2010,Australia,0.0851,0.0685,0.0871,0.0014,0.0262
2010,Austria,0.0197,0.1068,0.0081,0.0297,0.007
2010,Belgium,0.0451,0.071,0.0527,0.0309,0.0028
2010,Canada,0.0969,0.0896,0.0816,0.054,0.006
2010,Denmark,0.055,0.0494,0.057,0.0501,0.0443
2010,Finland,0.0909,0.0372,0.0277,0.0343,0.0234
2010,France,0.0071,0.1249,0.0302,0.0304,0.0882
2010,Germany,0.0225,0.1169,0.033,0.0056,0.0209
2010,Greece,0.0109,0.1697,0.0122,0.0681,0.0119
2010,Ireland,0.0881,0.072,0.1103,0.0003,0.0023
2010,Italy,0.0224,0.0215,0.0262,0.0011,0.004
2010,Japan,0.0372,0.0531,0.0207,,0.0371
2010,Korea,0.0148,0.1244,0.1169,,0.01
2010,Luxembourg,0.0999,0.0979,0.1434,,0.0076
2010,Netherlands,0.0266,0.0825,0.0477,0.0525,0.0189
2010,New Zealand,0.0699,0.1672,0.0771,0.0369,0.0041
2010,Norway,0.0698,0.0606,0.0452,0.0767,0.0821
2010,Portugal,0.0003,0.1063,0.0181,0.0004,0.0017
2010,Slovenia,0.0223,0.0666,0.0091,0.0221,0.0011
2010,Spain,0.0459,0.0576,0.0395,0.0059,0.022
2010,Sweden,0.0843,0.0266,0.0433,0.0878,0.0317
2010,Switzerland,0.1101,0.0207,0.0248,0.1579,0.0201
2010,United Kingdom,0.0422,0.0555,0.0898,0.0013,0.066
2010,United States,0.156,0.0333,0.212,0.0287,0.0122
2011,"DAC Countries, Total",0.0699,0.062,0.0998,0.031,0.023
2011,Australia,0.0862,0.0898,0.0977,0.0,0.0208
2011,Austria,0.0127,0.1198,0.0134,0.0377,0.007
2011,Belgium,0.0544,0.0714,0.0555,0.0414,0.0028
2011,Canada,0.0771,0.0596,0.1218,0.0616,0.0086
2011,Czechia,0.0158,0.0306,0.0127,0.0468,0.0012
2011,Denmark,0.0613,0.0648,0.0495,0.0404,0.0503
2011,Finland,0.0826,0.0374,0.0234,0.0246,0.0214
2011,France,0.0059,0.1057,0.0148,0.0378,0.0787
2011,Germany,0.0273,0.1157,0.026,0.0055,0.0267
2011,Greece,0.0033,0.1781,0.0064,0.0598,
2011,Iceland,0.0518,0.0517,0.0665,0.0067,0.0079
2011,Ireland,0.0974,0.0723,0.1054,0.0003,0.0033
2011,Italy,0.0167,0.0177,0.019,0.1138,0.0021
2011,Japan,0.0486,0.059,0.0215,0.0,0.0178
2011,Korea,0.0176,0.1339,0.0753,,0.0103
2011,Luxembourg,0.1276,0.0753,0.099,,0.0052
2011,Netherlands,0.027,0.0626,0.0472,0.0734,0.0126
2011,New Zealand,0.0614,0.1311,0.0637,0.0326,0.0022
2011,Norway,0.079,0.0568,0.0456,0.0553,0.0629
2011,Portugal,0.0007,0.0815,0.0233,0.0007,0.0012
2011,Slovenia,0.0118,0.0415,0.0079,0.0079,0.0049
2011,Spain,0.0552,0.0598,0.0371,0.0074,0.0121
2011,Sweden,0.0866,0.0262,0.0336,0.0865,0.0259
2011,Switzerland,0.0969,0.028,0.0255,0.1732,0.0314
2011,United Kingdom,0.0479,0.0737,0.1073,0.0022,0.014
2011,United States,0.1323,0.0274,0.2262,0.0259,0.0137
2012,"DAC Countries, Total",0.068,0.0632,0.1209,0.0271,0.0275
2012,Australia,0.0639,0.1005,0.1147,0.0252,0.0242
2012,Austria,0.0365,0.1188,0.0264,0.035,0.0131
2012,Belgium,0.0435,0.0828,0.0774,0.0407,0.018
2012,Canada,0.0785,0.0565,0.1417,0.0392,0.0292
2012,Czechia,0.0658,0.051,0.0281,0.0264,0.0108
2012,Denmark,0.0678,0.0665,0.0665,0.0412,0.0384
2012,Finland,0.0772,0.0461,0.0619,0.0127,0.0384
2012,France,0.0201,0.0959,0.0475,0.0303,0.0418
2012,Germany,0.0416,0.1073,0.0506,0.0041,0.0428
2012,Greece,0.056,0.1521,0.0229,0.0374,0.0096
