Year,Donor,COVID ODA,Health (excl. COVID),IDRC,ODA to Ukraine,Other ODA,Total ODA,Preliminary
2023,Belgium,294.712,154.617566,365.778374,483.801814,1573.2,2872.070484,
2024,Belgium,0.0,0.0,472.79,0.0,,3221.96,2749.2
2018,Canada,0.0,1040.907863,594.767038,79.724168,3785.0,5500.42833,
2019,Canada,0.0,992.02797,564.069895,63.703111,3981.0,5600.801928,
2020,Canada,481.932,679.970855,747.653431,45.928418,4032.2,5987.663543,
2021,Canada,1892.414,658.0132169999999,477.005489,43.445318,3414.1,6484.99046,
2022,Canada,1079.408,681.81978,916.468023,896.358361,4203.0,7777.02588,
2023,Canada,601.621,656.842387,1712.486438,853.663,4246.3,8070.951581,
2024,Canada,0.0,0.0,1766.65,0.0,,7419.64,5653.0
2018,Czechia,0.0,14.68011,32.341124,13.955194,334.2,395.185498,
2019,Czechia,0.0,16.753518,8.03587,10.250768,371.6,406.659759,
2020,Czechia,14.536,13.329336,7.018589,21.08526,325.1,381.04185,
2021,Czechia,59.777,17.713062,7.342409,19.072282,314.8,418.711733,
2022,Czechia,80.779,15.724969000000002,732.131233,151.654858,211.2,1191.443026,
2023,Czechia,71.8,15.249091,416.64997,161.829951,141.5,807.064468,
2024,Czechia,0.0,0.0,161.2,0.0,,572.25,411.0
2018,Denmark,0.0,221.788861,69.887763,46.104518,2357.1,2694.835529,
2019,Denmark,0.0,194.503325,58.769603,36.543341,2490.4,2780.168013,
2020,Denmark,628.39,128.006998,59.59503,44.065377,1893.8,2753.89692,
2021,Denmark,206.946,128.044457,61.392385,53.22191600000001,2387.9,2837.455008,
2022,Denmark,143.371,135.294219,357.396258,286.23980400000005,1853.9,2776.163002,
2023,Denmark,101.682,115.635558,280.392431,366.731586,2234.6,3099.08971,
2024,Denmark,0.0,0.0,182.68,0.0,,3167.53,2984.9
2018,Estonia,0.0,2.315512,3.516025,8.41153,49.5,63.732854,
2019,Estonia,0.0,2.208752,0.848417,4.61301,56.6,64.280852,
2020,Estonia,3.952,1.972313,0.790505,6.88172,51.1,64.704778,
2021,Estonia,11.389,1.8757200000000005,0.0,6.55579,51.7,71.477164,
2022,Estonia,10.743,1.377882,157.58624,22.989633,38.6,231.274583,
2023,Estonia,11.29,1.927214,34.92693,32.938711,32.1,113.217845,
2024,Estonia,0.0,0.0,2.54,0.0,,83.44,80.9
2018,Finland,0.0,59.899420000000006,61.61505,17.418059,925.5,1064.417291,
2019,Finland,0.0,56.607153,100.681912,16.860452000000002,1096.6,1270.767776,
2020,Finland,81.766,77.451099,64.58188,28.788984,1135.7,1388.271464,
2021,Finland,91.771,75.19468599999999,70.267366,26.577666,1208.8,1472.600455,
2022,Finland,101.504,62.404666000000006,446.641005,178.02428700000002,971.9,1760.434594,
2023,Finland,78.784,80.63414,254.445224,219.717892,984.0,1617.588346,
2024,Finland,0.0,0.0,274.31,0.0,,1408.26,1134.0
2018,France,0.0,1005.763468,863.940929,97.436655,11111.9,13079.028489,
2019,France,0.0,1039.183069,1357.986705,93.30462899999999,11218.1,13708.58542,
2020,France,1029.453,826.549906,1310.583924,233.648956,11725.4,15125.590145,
2021,France,1490.992,985.622359,1178.995434,193.864808,11958.0,15807.497906,
2022,France,1860.28,929.637174,1701.492535,1507.132497,11788.0,17786.519644,
2023,France,1354.193,945.441374,1314.715361,1758.2135059999998,10063.3,15435.84617,
2024,France,0.0,0.0,1191.8,0.0,,15433.22,14241.4
2018,Germany,0.0,1635.979309,4403.907425,611.4631400000001,21759.9,28411.272667,
2019,Germany,0.0,1695.139266,3568.865766,327.731713,22855.9,28447.681798,
2020,Germany,3939.554,1838.279979,2985.659352,490.792049,23325.4,32579.689523,
2021,Germany,4565.807,2632.476847,2906.451646,477.211392,24814.3,35396.218494,
2022,Germany,4147.072,1762.168814,5422.138371,3953.654215,24900.8,40185.828996,
2023,Germany,2298.412,1374.970485,7527.549979,3631.405126,24327.9,39160.240276,
2024,Germany,0.0,0.0,6253.93,0.0,,32421.83,26167.9
2018,Greece,0.0,13.432674,30.249413,5.321821999999999,265.7,314.671906,
2019,Greece,0.0,10.979062,153.175986,5.965624,248.9,419.020584,
2020,Greece,5.839,10.306039,90.286274,17.101205999999998,242.3,365.852071,
2021,Greece,69.77,8.572206999999999,39.023353,12.923224000000001,233.6,363.915455,
2022,Greece,81.985,6.718016,82.310451,97.627483,137.7,406.355006,
2023,Greece,62.334,3.179991,51.987923,132.31035400000002,96.4,346.227141,
2024,Greece,0.0,0.0,0.0,0.0,,357.65,357.6
2018,Hungary,0.0,15.263207,4.500822,16.999265,314.6,351.360041,
2019,Hungary,0.0,16.686424000000002,1.354559,13.897988999999999,363.1,395.050052,
2020,Hungary,41.507,13.367963,3.27779,38.500462,430.2,526.816569,
2021,Hungary,81.674,22.808548,1.611534,33.489622,368.5,508.053621,
2022,Hungary,55.487,11.484214,0.0,104.036791,295.5,466.48419,
2023,Hungary,29.666,46.96745,2.058202,24.174511000000003,175.3,278.189904,
2024,Hungary,0.0,0.0,0.5,0.0,,190.55,190.0
2018,Iceland,0.0,3.801244,12.232971,0.194321,64.8,81.054358,
2019,Iceland,0.0,5.572713,9.392439,0.023688,57.8,72.746986,
2020,Iceland,7.802,6.165492,7.164711,0.087988,51.6,72.778378,
2021,Iceland,10.247,7.0414,4.798297,0.173703,56.2,78.501464,
2022,Iceland,0.361,11.069521,6.918487,12.675901000000001,71.3,102.3459,
2023,Iceland,0.254,12.566177,10.065095,11.783303,81.2,115.884604,
2024,Iceland,0.0,0.0,7.13,0.0,,111.71,104.6
2018,Ireland,0.0,113.781442,60.477901,5.586674,822.5,1002.332424,
2019,Ireland,0.0,119.125617,91.821194,6.900509,852.4,1070.276018,
2020,Ireland,63.111,105.394319,41.015002,19.486294,844.8,1073.792971,
2021,Ireland,120.004,82.462069,52.085452,17.346391,924.2,1196.121852,
2022,Ireland,144.064,91.792237,1313.67298,203.01984700000003,874.1,2626.615809,
2023,Ireland,127.741,110.598284,1501.781017,239.602079,891.5,2871.253127,
2024,Ireland,0.0,0.0,995.49,0.0,,2469.26,1473.8
2018,Italy,0.0,366.180111,1198.642014,68.592,3897.3,5530.724016,
2019,Italy,0.0,370.232346,494.629934,54.660281999999995,3985.7,4905.190452,
2020,Italy,151.288,286.797651,246.199681,151.978051,3732.2,4568.463852,
2021,Italy,733.783,667.034249,568.949272,119.167473,4136.8,6225.733292,
2022,Italy,872.336,382.993618,1644.068284,1184.1349380000001,3299.8,7383.358979,
2023,Italy,642.706,201.516049,1695.05975,1220.712772,2490.3,6250.300528,
2024,Italy,0.0,0.0,1751.39,0.0,,6671.86,4920.5
2018,Japan,0.0,711.522791,0.253522,18.132423,10491.2,11221.14437,
2019,Japan,0.0,774.708217,0.256521,16.814239,11325.1,12116.880156,
2020,Japan,1799.629,611.316089,0.241286,12.199829999999999,9837.1,12260.515633,
2021,Japan,2513.855,489.297858,0.20973,10.317734999999999,10685.5,13699.143847,
2022,Japan,2157.82,535.353271,49.991089,476.179546,12993.4,16212.742156,
2023,Japan,1204.263,877.6429929999999,33.605324,793.832473,15787.1,18696.474275,
2024,Japan,0.0,0.0,295.31,0.0,,16771.67,16476.4
2018,Korea,0.0,217.149235,1.665415,1.42099,1925.9,2146.155806,
2019,Korea,0.0,214.377554,1.367662,2.215809,2171.3,2389.217402,
2020,Korea,464.344,179.714795,1.324752,3.3155900000000003,1527.0,2175.707422,
2021,Korea,447.822,170.769775,0.481684,7.117919,1984.5,2610.645058,
2022,Korea,210.955,280.730515,10.879123,85.72097799999999,2241.8,2830.12319,
2023,Korea,189.324,278.745931,1.269643,68.086567,2621.9,3159.37059,
2024,Korea,0.0,0.0,1.23,0.0,,3942.53,3941.3
2018,Lithuania,0.0,3.262627,1.628721,7.480715,74.3,86.669303,
2019,Lithuania,0.0,3.1912979999999997,1.71852,5.057143,83.1,93.033788,
2020,Lithuania,3.195,2.977732,1.588253,8.311116,79.2,95.321671,
2021,Lithuania,14.928,2.518552,2.298077,7.281001,76.9,103.942844,
2022,Lithuania,26.159,2.550797,86.359735,93.455539,75.1,283.583548,
2023,Lithuania,32.225,2.594515,36.668581,102.59710100000001,47.9,221.945792,
2024,Lithuania,0.0,0.0,14.0,0.0,,193.42,179.4
2018,Luxembourg,0.0,72.625827,0.0,3.1895219999999997,464.8,540.637875,
2019,Luxembourg,0.0,83.62201,0.287243,2.618035,477.9,564.397536,
2020,Luxembourg,5.604,57.868433,0.179802,4.842829,439.8,508.322696,
2021,Luxembourg,25.363,66.220601,0.0,4.3912889999999996,462.9,558.851945,
2022,Luxembourg,25.476,73.34267299999999,0.0,32.106614,451.1,582.024055,
2023,Luxembourg,20.804,68.705372,0.0,46.614246,462.1,598.176481,
2024,Luxembourg,0.0,0.0,0.0,0.0,,596.62,596.6
2018,Netherlands,0.0,766.6740930000001,682.538311,32.345000999999996,5245.1,6726.687264,
2019,Netherlands,0.0,653.2915760000001,600.728513,23.621812000000002,5160.7,6438.332196,
2020,Netherlands,379.402,536.336517,655.824433,54.765788,4631.8,6258.166607,
2021,Netherlands,352.207,464.316669,446.432615,38.168591,4489.5,5790.580913,
2022,Netherlands,478.316,526.228012,1096.830535,637.1699570000001,4766.3,7504.864411,
2023,Netherlands,336.657,579.549141,1362.57001,922.1106540000001,4534.9,7735.79897,
2024,Netherlands,0.0,0.0,1382.72,0.0,,7522.73,6140.0
2018,New Zealand,0.0,28.601881,18.358415,0.11914,555.2,602.23183,
2019,New Zealand,0.0,27.685163,17.931006,0.122206,570.6,616.320008,
2020,New Zealand,50.816,29.861271,9.027025,0.099319,494.8,584.59364,
2021,New Zealand,158.702,37.884544000000005,11.467592,0.491328,464.8,673.374646,
2022,New Zealand,59.006,24.510041,14.527113,5.8797820000000005,430.7,534.628876,
2023,New Zealand,14.833,30.908069,13.427008,4.616923,713.3,777.047425,
2024,New Zealand,0.0,0.0,13.61,0.0,,780.75,767.1
2018,Norway,0.0,560.762189,101.17554,47.410518,3525.9,4235.247278,
2019,Norway,0.0,555.897618,64.413376,31.421092,3997.9,4649.609333,
2020,Norway,363.137,532.833764,56.242759,31.765885,3997.6,4981.574426,
2021,Norway,378.127,451.392525,47.100777,20.646209,3315.2,4212.450091,
2022,Norway,125.368,326.661693,405.578166,438.453034,2757.5,4053.566759,
2023,Norway,89.164,371.111388,415.109379,734.582215,3774.4,5384.397224,
2024,Norway,0.0,0.0,371.79,0.0,,5180.22,4808.4
2018,Poland,0.0,33.699049,8.054249,184.796796,760.6,987.180264,
